egoid,sender,wave,alter1_pos,alter2_pos,alter1_id,alter2_id,alter1_egoid,alter2_egoid,perceived_tie
10353,5745407529,1,1,2,4438380097,4434142852,NA,NA,1
10353,5745407529,1,1,3,4438380097,4437686441,NA,NA,1
10353,5745407529,1,1,4,4438380097,NA,NA,NA,1
10353,5745407529,1,1,5,4438380097,4436317630,NA,NA,1
10353,5745407529,1,1,6,4438380097,4434181796,NA,NA,1
10353,5745407529,1,1,7,4438380097,4108024027,NA,NA,1
10353,5745407529,1,1,8,4438380097,4436758636,NA,NA,1
10353,5745407529,1,1,12,4438380097,4438344796,NA,NA,1
10353,5745407529,1,1,13,4438380097,4109600854,NA,NA,1
10353,5745407529,1,1,16,4438380097,4104567544,NA,NA,1
10353,5745407529,1,1,19,4438380097,4102077727,NA,NA,1
10353,5745407529,1,1,20,4438380097,4107108165,NA,NA,1
10353,5745407529,1,2,3,4434142852,4437686441,NA,NA,1
10353,5745407529,1,2,4,4434142852,NA,NA,NA,1
10353,5745407529,1,2,5,4434142852,4436317630,NA,NA,1
10353,5745407529,1,2,6,4434142852,4434181796,NA,NA,1
10353,5745407529,1,2,7,4434142852,4108024027,NA,NA,1
10353,5745407529,1,2,8,4434142852,4436758636,NA,NA,1
10353,5745407529,1,2,9,4434142852,4104462595,NA,NA,1
10353,5745407529,1,2,12,4434142852,4438344796,NA,NA,1
10353,5745407529,1,2,13,4434142852,4109600854,NA,NA,1
10353,5745407529,1,2,16,4434142852,4104567544,NA,NA,1
10353,5745407529,1,2,17,4434142852,4434148346,NA,NA,1
10353,5745407529,1,2,19,4434142852,4102077727,NA,NA,1
10353,5745407529,1,2,20,4434142852,4107108165,NA,NA,1
10353,5745407529,1,3,4,4437686441,NA,NA,NA,1
10353,5745407529,1,3,5,4437686441,4436317630,NA,NA,1
10353,5745407529,1,3,6,4437686441,4434181796,NA,NA,1
10353,5745407529,1,3,7,4437686441,4108024027,NA,NA,1
10353,5745407529,1,3,8,4437686441,4436758636,NA,NA,1
10353,5745407529,1,3,9,4437686441,4104462595,NA,NA,1
10353,5745407529,1,3,10,4437686441,4104023332,NA,NA,1
10353,5745407529,1,3,12,4437686441,4438344796,NA,NA,1
10353,5745407529,1,3,13,4437686441,4109600854,NA,NA,1
10353,5745407529,1,3,14,4437686441,4438346271,NA,NA,1
10353,5745407529,1,3,16,4437686441,4104567544,NA,NA,1
10353,5745407529,1,3,17,4437686441,4434148346,NA,NA,1
10353,5745407529,1,3,18,4437686441,4104408164,NA,NA,1
10353,5745407529,1,3,19,4437686441,4102077727,NA,NA,1
10353,5745407529,1,3,20,4437686441,4107108165,NA,NA,1
10353,5745407529,1,4,5,NA,4436317630,NA,NA,1
