egoid,alter_id,is_study_peer,study_week,stata_week,flow_in,flow_out,total_flow,is_saved_in_contacts
16313,134777,0,0,2684,3,5,8,0
16313,137463,0,0,2684,29,26,55,0
16313,144340,0,0,2684,0,1,1,0
16313,145021,0,0,2684,0,1,1,0
16313,147053,0,0,2684,0,1,1,0
16313,149641,0,0,2684,1,1,2,0
16313,152583,0,0,2684,5,8,13,0
16313,161664,0,0,2684,1,1,2,0
16313,167479,0,0,2684,1,1,2,0
16313,171936,0,0,2684,0,1,1,0
16313,172004,0,0,2684,1,2,3,0
16313,179723,0,0,2684,4,3,7,0
16313,185171,0,0,2684,0,1,1,0
16313,194137,0,0,2684,1,1,2,0
16313,198914,0,0,2684,7,7,14,0
16313,220508,0,0,2684,5,5,10,0
16313,223522,0,0,2684,5,5,10,0
16313,234774,0,0,2684,0,1,1,0
16313,239503,0,0,2684,1,1,2,0
16313,280463,0,0,2684,0,1,1,0
16313,305812,0,0,2684,2,2,4,0
16313,308815,0,0,2684,0,1,1,0
16313,345655,0,0,2684,0,1,1,0
16313,360356,0,0,2684,7,7,14,0
16313,366423,0,0,2684,0,1,1,0
16313,396022,0,0,2684,0,1,1,0
16313,424394,0,0,2684,0,1,1,0
16313,438801,0,0,2684,2,2,4,0
16313,453477,0,0,2684,0,1,1,0
16313,458157,0,0,2684,0,1,1,0
16313,464215,0,0,2684,0,1,1,0
16313,468195,0,0,2684,0,1,1,0
16313,482126,0,0,2684,3,3,6,0
16313,503777,0,0,2684,0,1,1,0
16313,512192,0,0,2684,2,3,5,0
16313,514333,0,0,2684,0,1,1,0
16313,596525,0,0,2684,0,1,1,0
16313,596562,0,0,2684,0,1,1,0
16313,609069,0,0,2684,0,2,2,0
16313,629368,0,0,2684,2,2,4,0
16313,642963,0,0,2684,0,1,1,0
16313,645980,0,0,2684,4,7,11,0
16313,652462,0,0,2684,1,1,2,0
16313,656261,0,0,2684,0,1,1,0
16313,657370,0,0,2684,0,1,1,0
16313,697668,0,0,2684,1,2,3,0
16313,710692,0,0,2684,0,1,1,0
16313,716668,0,0,2684,4,5,9,0
16313,723989,0,0,2684,1,2,3,0
16313,731183,0,0,2684,0,1,1,0
16313,750332,0,0,2684,2,0,2,0
16313,750584,0,0,2684,2,4,6,0
16313,767371,0,0,2684,1,2,3,0
16313,779541,0,0,2684,0,1,1,0
16313,799420,0,0,2684,0,1,1,0
16313,802541,0,0,2684,0,1,1,0
16313,823739,0,0,2684,0,1,1,0
16313,834511,0,0,2684,7,8,15,0
16313,858196,0,0,2684,0,1,1,0
16313,858382,0,0,2684,3,3,6,0
16313,886390,0,0,2684,0,1,1,0
16313,897227,0,0,2684,3,3,6,0
17353,10841,1,0,2684,2,2,4,1
17353,118100,0,0,2684,3,3,6,0
17353,170124,0,0,2684,0,2,2,0
17353,194277,0,0,2684,1,3,4,0
17353,336342,0,0,2684,1,1,2,0
18394,129725,0,0,2684,1,0,1,0
18394,130264,0,0,2684,1,0,1,0
18394,134226,0,0,2684,1,1,2,0
18394,142492,0,0,2684,1,0,1,0
18394,199125,0,0,2684,50,48,98,0
18420,327,0,0,2684,1,0,1,0
18420,318577,0,0,2684,1,0,1,0
18420,583376,0,0,2684,1,1,2,0
18420,754692,0,0,2684,0,1,1,0
18707,214981,0,0,2684,4,0,4,0
18707,637853,0,0,2684,1,0,1,0
19066,312,0,0,2684,0,2,2,0
19066,111002,0,0,2684,3,4,7,0
19066,111270,0,0,2684,0,1,1,0
19066,122772,0,0,2684,4,6,10,0
19066,140184,0,0,2684,0,1,1,0
19844,312,0,0,2684,0,3,3,0
19844,100783,0,0,2684,4,2,6,0
19844,167950,0,0,2684,4,7,11,0
19844,455113,0,0,2684,1,0,1,0
20905,312,0,0,2684,0,12,12,0
20905,1920,0,0,2684,1,0,1,0
20905,13116,1,0,2684,0,3,3,0
20905,30952,1,0,2684,2,0,2,0
20905,60482,1,0,2684,1,0,1,0
20905,60830,1,0,2684,0,1,1,0
20905,69669,1,0,2684,3,2,5,0
20905,75178,1,0,2684,0,1,1,0
20905,103496,0,0,2684,3,5,8,0
20905,106411,0,0,2684,10,9,19,0
20905,123682,0,0,2684,1,1,2,0
20905,154810,0,0,2684,0,1,1,0
20905,158496,0,0,2684,3,3,6,0
20905,171719,0,0,2684,1,1,2,0
20905,172613,0,0,2684,1,3,4,0
20905,197328,0,0,2684,2,3,5,0
20905,466612,0,0,2684,3,4,7,0
20905,672190,0,0,2684,4,2,6,0
20905,792435,0,0,2684,0,1,1,0
20905,874107,0,0,2684,0,1,1,0
22617,312,0,0,2684,0,5,5,0
22617,1920,0,0,2684,1,0,1,0
22617,109041,0,0,2684,2,2,4,0
22617,133935,0,0,2684,5,6,11,0
22617,135622,0,0,2684,8,7,15,0
22617,136412,0,0,2684,13,12,25,0
22617,144616,0,0,2684,27,13,40,0
22617,186523,0,0,2684,28,29,57,0
22617,248271,0,0,2684,1,1,2,0
22617,375389,0,0,2684,0,2,2,0
22617,413076,0,0,2684,0,1,1,0
22617,415773,0,0,2684,27,26,53,0
22617,510143,0,0,2684,1,1,2,0
22617,511381,0,0,2684,6,0,6,0
22617,848852,0,0,2684,7,7,14,0
22745,209,0,0,2684,1,0,1,0
22745,101523,0,0,2684,3,3,6,0
22745,118283,0,0,2684,1,1,2,0
22745,144402,0,0,2684,3,3,6,0
22745,159333,0,0,2684,3,2,5,0
22745,159642,0,0,2684,0,1,1,0
22745,176783,0,0,2684,6,8,14,0
22745,189618,0,0,2684,26,27,53,0
22745,190815,0,0,2684,3,3,6,0
22745,192322,0,0,2684,4,3,7,0
22745,212280,0,0,2684,8,7,15,0
22745,219202,0,0,2684,1,1,2,0
22745,410590,0,0,2684,4,4,8,0
22745,416736,0,0,2684,10,9,19,0
22745,425317,0,0,2684,1,1,2,0
22745,566782,0,0,2684,3,1,4,0
22745,750918,0,0,2684,4,4,8,0
22745,859191,0,0,2684,1,1,2,0
22931,209,0,0,2684,2,1,3,0
22931,1232,0,0,2684,1,0,1,0
22931,1579,0,0,2684,1,0,1,0
22931,1927,0,0,2684,4,0,4,0
22931,30952,1,0,2684,3,2,5,1
22931,39122,1,0,2684,10,11,21,1
22931,60830,1,0,2684,10,13,23,1
22931,75178,1,0,2684,1,0,1,1
22931,100084,0,0,2684,0,1,1,0
22931,124061,0,0,2684,9,13,22,0
22931,132240,0,0,2684,6,7,13,0
22931,133802,0,0,2684,0,1,1,0
22931,134566,0,0,2684,0,1,1,0
22931,138228,0,0,2684,3,3,6,0
22931,139459,0,0,2684,0,1,1,0
22931,140202,0,0,2684,0,1,1,0
