egoid,sender,wave,alters_nominated,potential_pairs,evaluated_pairs,perceived_ties,density
71627,5743671873,8,4,6,6,6,1
73175,5745407557,8,12,66,66,31,0.4697
73303,5745407542,8,15,105,105,47,0.4476
75178,5745407562,8,8,28,28,12,0.4286
75261,5745407533,8,3,3,3,3,1
75468,5745406645,8,15,105,105,45,0.4286
76313,5743671922,8,15,105,105,30,0.2857
77023,5743671531,8,13,78,78,20,0.2564
78911,5743671773,8,12,66,66,37,0.5606
78966,5745407534,8,11,55,55,20,0.3636
80058,5743671896,8,8,28,28,18,0.6429
82282,5743671763,8,7,21,21,4,0.1905
83568,5745403617,8,15,105,105,33,0.3143
84841,5743671782,8,6,15,15,10,0.6667
85596,5745407577,8,15,105,105,50,0.4762
85970,5743671960,8,15,105,105,59,0.5619
86009,5743671649,8,3,3,3,3,1
86352,5745407536,8,2,1,1,0,0
86727,5743671913,8,9,36,36,29,0.8056
88133,5745407532,8,9,36,36,14,0.3889
88175,5743671703,8,2,1,1,1,1
89827,5745407526,8,4,6,6,6,1
NA,NA,8,15,105,91,16,0.1524
