egoid,term,semester,academic_year,college_year,crn,final_grade,grade_points,is_letter_grade
11692,201420,Spring 2015,2014-2015,Senior,29302,A-,3.667,1
11692,201420,Spring 2015,2014-2015,Senior,29418,A-,3.667,1
11692,201110,Fall 2011,2011-2012,Freshman,101001001,AD,,0
11692,201110,Fall 2011,2011-2012,Freshman,101001002,AD,,0
11692,201110,Fall 2011,2011-2012,Freshman,11528,B-,2.667,1
11692,201110,Fall 2011,2011-2012,Freshman,12194,B+,3.333,1
11692,201110,Fall 2011,2011-2012,Freshman,19061,B+,3.333,1
11692,201210,Fall 2012,2012-2013,Sophomore,14619,B+,3.333,1
11692,201420,Spring 2015,2014-2015,Senior,29155,P,,0
11692,201110,Fall 2011,2011-2012,Freshman,13157,S,,0
11692,201120,Spring 2012,2011-2012,Freshman,24634,S,,0
11692,201210,Fall 2012,2012-2013,Sophomore,12584,S,,0
13799,201220,Spring 2013,2012-2013,Sophomore,23168,A,4.0,1
13799,201410,Fall 2014,2014-2015,Senior,11925,A,4.0,1
13799,201420,Spring 2015,2014-2015,Senior,26616,A,4.0,1
13799,201120,Spring 2012,2011-2012,Freshman,29496,A-,3.667,1
13799,201210,Fall 2012,2012-2013,Sophomore,19288,A-,3.667,1
13799,201220,Spring 2013,2012-2013,Sophomore,21910,A-,3.667,1
13799,201310,Fall 2013,2013-2014,Junior,16843,A-,3.667,1
13799,201310,Fall 2013,2013-2014,Junior,18825,A-,3.667,1
13799,201310,Fall 2013,2013-2014,Junior,19330,A-,3.667,1
13799,201410,Fall 2014,2014-2015,Senior,20491,A-,3.667,1
13799,201420,Spring 2015,2014-2015,Senior,22274,A-,3.667,1
13799,201110,Fall 2011,2011-2012,Freshman,11528,B,3.0,1
13799,201110,Fall 2011,2011-2012,Freshman,15978,B,3.0,1
13799,201120,Spring 2012,2011-2012,Freshman,21585,B,3.0,1
13799,201120,Spring 2012,2011-2012,Freshman,22543,B,3.0,1
13799,201120,Spring 2012,2011-2012,Freshman,28855,B,3.0,1
13799,201220,Spring 2013,2012-2013,Sophomore,22310,B,3.0,1
13799,201310,Fall 2013,2013-2014,Junior,16557,B,3.0,1
13799,201320,Spring 2014,2013-2014,Junior,29045,B,3.0,1
13799,201410,Fall 2014,2014-2015,Senior,12425,B,3.0,1
13799,201210,Fall 2012,2012-2013,Sophomore,12777,B-,2.667,1
13799,201410,Fall 2014,2014-2015,Senior,11937,B-,2.667,1
13799,201110,Fall 2011,2011-2012,Freshman,14895,B+,3.333,1
13799,201120,Spring 2012,2011-2012,Freshman,21147,B+,3.333,1
13799,201210,Fall 2012,2012-2013,Sophomore,10113,B+,3.333,1
13799,201210,Fall 2012,2012-2013,Sophomore,18874,B+,3.333,1
13799,201210,Fall 2012,2012-2013,Sophomore,18952,B+,3.333,1
13799,201220,Spring 2013,2012-2013,Sophomore,21958,B+,3.333,1
13799,201320,Spring 2014,2013-2014,Junior,21853,B+,3.333,1
13799,201410,Fall 2014,2014-2015,Senior,19633,B+,3.333,1
13799,201420,Spring 2015,2014-2015,Senior,24697,B+,3.333,1
13799,201420,Spring 2015,2014-2015,Senior,29420,B+,3.333,1
13799,201110,Fall 2011,2011-2012,Freshman,11797,C,2.0,1
13799,201110,Fall 2011,2011-2012,Freshman,12220,C+,2.333,1
13799,201310,Fall 2013,2013-2014,Junior,12073,C+,2.333,1
13799,201320,Spring 2014,2013-2014,Junior,28944,C+,2.333,1
13799,201110,Fall 2011,2011-2012,Freshman,13159,S,,0
13799,201120,Spring 2012,2011-2012,Freshman,24631,S,,0
13799,201210,Fall 2012,2012-2013,Sophomore,10219,S,,0
13799,201220,Spring 2013,2012-2013,Sophomore,20351,S,,0
13799,201320,Spring 2014,2013-2014,Junior,20331,S,,0
13799,201400,Summer 2014,2014-2015,Senior,3419,S,,0
13799,201410,Fall 2014,2014-2015,Senior,17420,S,,0
14106,201120,Spring 2012,2011-2012,Freshman,22200,A,4.0,1
14106,201120,Spring 2012,2011-2012,Freshman,24503,A,4.0,1
14106,201120,Spring 2012,2011-2012,Freshman,28719,A,4.0,1
14106,201120,Spring 2012,2011-2012,Freshman,28801,A,4.0,1
14106,201210,Fall 2012,2012-2013,Sophomore,11269,A,4.0,1
14106,201210,Fall 2012,2012-2013,Sophomore,13773,A,4.0,1
14106,201210,Fall 2012,2012-2013,Sophomore,18451,A,4.0,1
14106,201210,Fall 2012,2012-2013,Sophomore,18452,A,4.0,1
14106,201220,Spring 2013,2012-2013,Sophomore,20711,A,4.0,1
14106,201220,Spring 2013,2012-2013,Sophomore,21421,A,4.0,1
14106,201220,Spring 2013,2012-2013,Sophomore,22751,A,4.0,1
14106,201220,Spring 2013,2012-2013,Sophomore,23615,A,4.0,1
14106,201220,Spring 2013,2012-2013,Sophomore,26177,A,4.0,1
14106,201220,Spring 2013,2012-2013,Sophomore,28976,A,4.0,1
14106,201310,Fall 2013,2013-2014,Junior,12476,A,4.0,1
14106,201310,Fall 2013,2013-2014,Junior,13575,A,4.0,1
14106,201310,Fall 2013,2013-2014,Junior,19045,A,4.0,1
14106,201320,Spring 2014,2013-2014,Junior,23357,A,4.0,1
14106,201320,Spring 2014,2013-2014,Junior,23825,A,4.0,1
14106,201320,Spring 2014,2013-2014,Junior,24571,A,4.0,1
14106,201410,Fall 2014,2014-2015,Senior,20288,A,4.0,1
14106,201420,Spring 2015,2014-2015,Senior,24005,A,4.0,1
14106,201110,Fall 2011,2011-2012,Freshman,10869,A-,3.667,1
14106,201110,Fall 2011,2011-2012,Freshman,13744,A-,3.667,1
14106,201110,Fall 2011,2011-2012,Freshman,14692,A-,3.667,1
14106,201120,Spring 2012,2011-2012,Freshman,28281,A-,3.667,1
14106,201210,Fall 2012,2012-2013,Sophomore,11628,A-,3.667,1
14106,201310,Fall 2013,2013-2014,Junior,11937,A-,3.667,1
14106,201310,Fall 2013,2013-2014,Junior,15362,A-,3.667,1
14106,201310,Fall 2013,2013-2014,Junior,17095,A-,3.667,1
14106,201320,Spring 2014,2013-2014,Junior,21213,A-,3.667,1
14106,201410,Fall 2014,2014-2015,Senior,13836,A-,3.667,1
14106,201420,Spring 2015,2014-2015,Senior,23120,A-,3.667,1
14106,201420,Spring 2015,2014-2015,Senior,25882,A-,3.667,1
14106,201110,Fall 2011,2011-2012,Freshman,101001001,AD,,0
14106,201110,Fall 2011,2011-2012,Freshman,101002002,AD,,0
14106,201110,Fall 2011,2011-2012,Freshman,101003003,AD,,0
14106,201110,Fall 2011,2011-2012,Freshman,101004004,AD,,0
14106,201110,Fall 2011,2011-2012,Freshman,101005005,AD,,0
14106,201110,Fall 2011,2011-2012,Freshman,101006006,AD,,0
14106,201110,Fall 2011,2011-2012,Freshman,101007007,AD,,0
14106,201110,Fall 2011,2011-2012,Freshman,101008008,AD,,0
14106,201110,Fall 2011,2011-2012,Freshman,101008009,AD,,0
14106,201120,Spring 2012,2011-2012,Freshman,101010011,AD,,0
14106,201110,Fall 2011,2011-2012,Freshman,18352,B,3.0,1
14106,201110,Fall 2011,2011-2012,Freshman,11916,B+,3.333,1
14106,201320,Spring 2014,2013-2014,Junior,24375,B+,3.333,1
14106,201410,Fall 2014,2014-2015,Senior,11071,B+,3.333,1
14106,201410,Fall 2014,2014-2015,Senior,15140,B+,3.333,1
14106,201110,Fall 2011,2011-2012,Freshman,13161,S,,0
14106,201120,Spring 2012,2011-2012,Freshman,24631,S,,0
15071,201110,Fall 2011,2011-2012,Freshman,11800,A,4.0,1
15071,201110,Fall 2011,2011-2012,Freshman,12198,A,4.0,1
15071,201110,Fall 2011,2011-2012,Freshman,12438,A,4.0,1
15071,201110,Fall 2011,2011-2012,Freshman,14270,A,4.0,1
15071,201120,Spring 2012,2011-2012,Freshman,20002,A,4.0,1
15071,201120,Spring 2012,2011-2012,Freshman,22195,A,4.0,1
15071,201120,Spring 2012,2011-2012,Freshman,22685,A,4.0,1
15071,201120,Spring 2012,2011-2012,Freshman,24426,A,4.0,1
15071,201210,Fall 2012,2012-2013,Sophomore,12358,A,4.0,1
15071,201210,Fall 2012,2012-2013,Sophomore,12614,A,4.0,1
15071,201210,Fall 2012,2012-2013,Sophomore,13245,A,4.0,1
15071,201210,Fall 2012,2012-2013,Sophomore,15116,A,4.0,1
15071,201220,Spring 2013,2012-2013,Sophomore,20261,A,4.0,1
15071,201220,Spring 2013,2012-2013,Sophomore,20443,A,4.0,1
15071,201220,Spring 2013,2012-2013,Sophomore,22532,A,4.0,1
15071,201220,Spring 2013,2012-2013,Sophomore,22534,A,4.0,1
15071,201220,Spring 2013,2012-2013,Sophomore,24613,A,4.0,1
15071,201310,Fall 2013,2013-2014,Junior,10192,A,4.0,1
15071,201310,Fall 2013,2013-2014,Junior,11449,A,4.0,1
15071,201310,Fall 2013,2013-2014,Junior,11558,A,4.0,1
15071,201310,Fall 2013,2013-2014,Junior,15377,A,4.0,1
15071,201320,Spring 2014,2013-2014,Junior,21020,A,4.0,1
15071,201320,Spring 2014,2013-2014,Junior,21082,A,4.0,1
15071,201320,Spring 2014,2013-2014,Junior,24299,A,4.0,1
15071,201320,Spring 2014,2013-2014,Junior,29775,A,4.0,1
15071,201410,Fall 2014,2014-2015,Senior,11467,A,4.0,1
15071,201410,Fall 2014,2014-2015,Senior,11468,A,4.0,1
15071,201410,Fall 2014,2014-2015,Senior,12839,A,4.0,1
15071,201410,Fall 2014,2014-2015,Senior,16003,A,4.0,1
15071,201410,Fall 2014,2014-2015,Senior,17241,A,4.0,1
15071,201420,Spring 2015,2014-2015,Senior,21773,A,4.0,1
15071,201420,Spring 2015,2014-2015,Senior,21837,A,4.0,1
15071,201420,Spring 2015,2014-2015,Senior,25805,A,4.0,1
15071,201420,Spring 2015,2014-2015,Senior,26345,A,4.0,1
15071,201420,Spring 2015,2014-2015,Senior,30527,A,4.0,1
15071,201120,Spring 2012,2011-2012,Freshman,21006,A-,3.667,1
15071,201210,Fall 2012,2012-2013,Sophomore,18762,A-,3.667,1
15071,201310,Fall 2013,2013-2014,Junior,18890,A-,3.667,1
15071,201110,Fall 2011,2011-2012,Freshman,101001001,AD,,0
15071,201110,Fall 2011,2011-2012,Freshman,101002002,AD,,0
15071,201320,Spring 2014,2013-2014,Junior,28920,B,3.0,1
15071,201110,Fall 2011,2011-2012,Freshman,10913,B+,3.333,1
15071,201110,Fall 2011,2011-2012,Freshman,13160,S,,0
15071,201120,Spring 2012,2011-2012,Freshman,24632,S,,0
15071,201210,Fall 2012,2012-2013,Sophomore,12357,S,,0
15071,201310,Fall 2013,2013-2014,Junior,12227,S,,0
15071,201410,Fall 2014,2014-2015,Senior,11962,S,,0
15071,201420,Spring 2015,2014-2015,Senior,21954,S,,0
15723,201210,Fall 2012,2012-2013,Sophomore,14307,A,4.0,1
15723,201300,Summer 2013,2013-2014,Junior,1229,A,4.0,1
15723,201310,Fall 2013,2013-2014,Junior,11179,A,4.0,1
15723,201320,Spring 2014,2013-2014,Junior,20052,A,4.0,1
15723,201320,Spring 2014,2013-2014,Junior,23430,A,4.0,1
15723,201320,Spring 2014,2013-2014,Junior,29316,A,4.0,1
15723,201320,Spring 2014,2013-2014,Junior,29712,A,4.0,1
15723,201400,Summer 2014,2014-2015,Senior,2640,A,4.0,1
15723,201400,Summer 2014,2014-2015,Senior,3422,A,4.0,1
15723,201410,Fall 2014,2014-2015,Senior,11427,A,4.0,1
15723,201410,Fall 2014,2014-2015,Senior,11897,A,4.0,1
15723,201410,Fall 2014,2014-2015,Senior,17636,A,4.0,1
15723,201410,Fall 2014,2014-2015,Senior,19777,A,4.0,1
15723,201420,Spring 2015,2014-2015,Senior,26131,A,4.0,1
15723,201120,Spring 2012,2011-2012,Freshman,20146,A-,3.667,1
15723,201120,Spring 2012,2011-2012,Freshman,22149,A-,3.667,1
15723,201210,Fall 2012,2012-2013,Sophomore,15138,A-,3.667,1
15723,201220,Spring 2013,2012-2013,Sophomore,21948,A-,3.667,1
15723,201220,Spring 2013,2012-2013,Sophomore,23147,A-,3.667,1
15723,201220,Spring 2013,2012-2013,Sophomore,24094,A-,3.667,1
15723,201420,Spring 2015,2014-2015,Senior,29719,A-,3.667,1
15723,201110,Fall 2011,2011-2012,Freshman,101001001,AD,,0
15723,201110,Fall 2011,2011-2012,Freshman,101002002,AD,,0
15723,201110,Fall 2011,2011-2012,Freshman,101003003,AD,,0
15723,201110,Fall 2011,2011-2012,Freshman,10709,B,3.0,1
15723,201120,Spring 2012,2011-2012,Freshman,23895,B,3.0,1
15723,201220,Spring 2013,2012-2013,Sophomore,20700,B,3.0,1
15723,201220,Spring 2013,2012-2013,Sophomore,21695,B,3.0,1
15723,201220,Spring 2013,2012-2013,Sophomore,24392,B,3.0,1
15723,201310,Fall 2013,2013-2014,Junior,10963,B,3.0,1
15723,201310,Fall 2013,2013-2014,Junior,16156,B,3.0,1
15723,201200,Summer 2012,2012-2013,Sophomore,4079,B-,2.667,1
15723,201210,Fall 2012,2012-2013,Sophomore,11342,B-,2.667,1
15723,201210,Fall 2012,2012-2013,Sophomore,13105,B-,2.667,1
15723,201110,Fall 2011,2011-2012,Freshman,14269,B+,3.333,1
15723,201120,Spring 2012,2011-2012,Freshman,24498,B+,3.333,1
15723,201220,Spring 2013,2012-2013,Sophomore,23056,B+,3.333,1
15723,201310,Fall 2013,2013-2014,Junior,11335,B+,3.333,1
15723,201310,Fall 2013,2013-2014,Junior,12177,B+,3.333,1
15723,201420,Spring 2015,2014-2015,Senior,26479,B+,3.333,1
15723,201110,Fall 2011,2011-2012,Freshman,12373,C,2.0,1
15723,201120,Spring 2012,2011-2012,Freshman,22543,C-,1.667,1
15723,201210,Fall 2012,2012-2013,Sophomore,14301,C-,1.667,1
15723,201110,Fall 2011,2011-2012,Freshman,10693,C+,2.333,1
15723,201110,Fall 2011,2011-2012,Freshman,10872,C+,2.333,1
15723,201210,Fall 2012,2012-2013,Sophomore,16953,C+,2.333,1
15723,201110,Fall 2011,2011-2012,Freshman,13159,S,,0
15723,201120,Spring 2012,2011-2012,Freshman,24633,S,,0
15723,201210,Fall 2012,2012-2013,Sophomore,17034,S,,0
15723,201320,Spring 2014,2013-2014,Junior,25789,S,,0
15723,201420,Spring 2015,2014-2015,Senior,29070,S,,0
15776,201110,Fall 2011,2011-2012,Freshman,11992,A,4.0,1
15776,201110,Fall 2011,2011-2012,Freshman,12577,A,4.0,1
15776,201110,Fall 2011,2011-2012,Freshman,14269,A,4.0,1
15776,201120,Spring 2012,2011-2012,Freshman,21082,A,4.0,1
15776,201120,Spring 2012,2011-2012,Freshman,22164,A,4.0,1
15776,201120,Spring 2012,2011-2012,Freshman,22197,A,4.0,1
15776,201120,Spring 2012,2011-2012,Freshman,23896,A,4.0,1
15776,201200,Summer 2012,2012-2013,Sophomore,4302,A,4.0,1
15776,201210,Fall 2012,2012-2013,Sophomore,11342,A,4.0,1
15776,201210,Fall 2012,2012-2013,Sophomore,11483,A,4.0,1
15776,201210,Fall 2012,2012-2013,Sophomore,14301,A,4.0,1
15776,201210,Fall 2012,2012-2013,Sophomore,14303,A,4.0,1
15776,201220,Spring 2013,2012-2013,Sophomore,20700,A,4.0,1
15776,201220,Spring 2013,2012-2013,Sophomore,23057,A,4.0,1
15776,201220,Spring 2013,2012-2013,Sophomore,23147,A,4.0,1
15776,201220,Spring 2013,2012-2013,Sophomore,24094,A,4.0,1
15776,201220,Spring 2013,2012-2013,Sophomore,24392,A,4.0,1
15776,201220,Spring 2013,2012-2013,Sophomore,24589,A,4.0,1
15776,201220,Spring 2013,2012-2013,Sophomore,25954,A,4.0,1
15776,201220,Spring 2013,2012-2013,Sophomore,30033,A,4.0,1
15776,201300,Summer 2013,2013-2014,Junior,1229,A,4.0,1
15776,201310,Fall 2013,2013-2014,Junior,13432,A,4.0,1
15776,201310,Fall 2013,2013-2014,Junior,13445,A,4.0,1
15776,201310,Fall 2013,2013-2014,Junior,13451,A,4.0,1
15776,201310,Fall 2013,2013-2014,Junior,20534,A,4.0,1
15776,201310,Fall 2013,2013-2014,Junior,20555,A,4.0,1
15776,201320,Spring 2014,2013-2014,Junior,20052,A,4.0,1
15776,201320,Spring 2014,2013-2014,Junior,22533,A,4.0,1
15776,201320,Spring 2014,2013-2014,Junior,22877,A,4.0,1
15776,201320,Spring 2014,2013-2014,Junior,27613,A,4.0,1
15776,201400,Summer 2014,2014-2015,Senior,1033,A,4.0,1
15776,201410,Fall 2014,2014-2015,Senior,11541,A,4.0,1
15776,201410,Fall 2014,2014-2015,Senior,14790,A,4.0,1
15776,201410,Fall 2014,2014-2015,Senior,20163,A,4.0,1
15776,201410,Fall 2014,2014-2015,Senior,20530,A,4.0,1
15776,201410,Fall 2014,2014-2015,Senior,20737,A,4.0,1
15776,201420,Spring 2015,2014-2015,Senior,20034,A,4.0,1
15776,201420,Spring 2015,2014-2015,Senior,24917,A,4.0,1
15776,201420,Spring 2015,2014-2015,Senior,26194,A,4.0,1
15776,201420,Spring 2015,2014-2015,Senior,26750,A,4.0,1
15776,201420,Spring 2015,2014-2015,Senior,29507,A,4.0,1
15776,201110,Fall 2011,2011-2012,Freshman,10159,A-,3.667,1
15776,201110,Fall 2011,2011-2012,Freshman,12372,A-,3.667,1
15776,201120,Spring 2012,2011-2012,Freshman,20145,A-,3.667,1
15776,201210,Fall 2012,2012-2013,Sophomore,10105,A-,3.667,1
15776,201210,Fall 2012,2012-2013,Sophomore,12252,A-,3.667,1
15776,201110,Fall 2011,2011-2012,Freshman,101001001,AD,,0
15776,201110,Fall 2011,2011-2012,Freshman,101002002,AD,,0
15776,201110,Fall 2011,2011-2012,Freshman,101003003,AD,,0
15776,201110,Fall 2011,2011-2012,Freshman,101004004,AD,,0
15776,201110,Fall 2011,2011-2012,Freshman,13163,S,,0
15776,201120,Spring 2012,2011-2012,Freshman,22733,S,,0
15776,201120,Spring 2012,2011-2012,Freshman,24633,S,,0
15776,201210,Fall 2012,2012-2013,Sophomore,20063,S,,0
15776,201320,Spring 2014,2013-2014,Junior,24347,S,,0
15776,201320,Spring 2014,2013-2014,Junior,25550,S,,0
15776,201410,Fall 2014,2014-2015,Senior,12382,S,,0
16313,201110,Fall 2011,2011-2012,Freshman,10516,A,4.0,1
16313,201110,Fall 2011,2011-2012,Freshman,14270,A,4.0,1
16313,201110,Fall 2011,2011-2012,Freshman,20035,A,4.0,1
16313,201120,Spring 2012,2011-2012,Freshman,20517,A,4.0,1
16313,201120,Spring 2012,2011-2012,Freshman,20628,A,4.0,1
